Fidelity,Phi,Susceptibility
0.714046822742475,0.050673561223515184,0.25337444849815327
0.7165551839464883,0.051313101309459125,0.2565722327599189
0.7190635451505016,0.051960712892879325,0.2598103755671044
0.7215719063545151,0.052616497842404464,0.2630893862761971
0.7240802675585285,0.05328055931232513,0.2664097806721527
0.7265886287625418,0.053953001758819945,0.2697720810495713
0.7290969899665551,0.05463393095638652,0.2731768162948205
0.7316053511705686,0.05532345401447958,0.27662452196920173
0.734113712374582,0.056021679394359106,0.28011574039322035
0.7366220735785953,0.05672871692615125,0.2836510207319121
0.7391304347826086,0.05744467782612455,0.28723091908121434
0.7416387959866221,0.0581696747141841,0.290855998555399
0.7441471571906355,0.05890382163158642,0.29452682937568864
0.7466555183946488,0.05964723405887819,0.29824398895996485
0.7491638795986622,0.060400028934061156,0.302008062013578
0.7516722408026756,0.06116232467098644,0.3058196406212961
0.754180602006689,0.0619342411779807,0.3096793243404493
0.7566889632107023,0.06271589987670775,0.31358772029529564
0.7591973244147158,0.06350742372126814,0.31754544327245
0.7617056856187291,0.06430893721753944,0.3215531158176219
0.7642140468227425,0.06512056644276122,0.3256113683335374
0.7667224080267558,0.06594243906536655,0.3297208391790887
0.7692307692307693,0.06677468436506434,0.33388217476976784
0.7717391304347826,0.06761743325317475,0.33809602967934776
0.774247491638796,0.0684708182932216,0.3423630667428138
0.7767558528428093,0.06933497372178418,0.3466839571606561
0.7792642140468228,0.07021003546961285,0.35105938060445124
0.7817725752508361,0.07109614118301052,0.35549002532375235
0.7842809364548495,0.07199343024548452,0.3599765882543678
0.7867892976588629,0.07290204379967123,0.364519775127987
0.7892976588628763,0.07382212476953796,0.3691203005831676
0.7918060200668896,0.07475381788286438,0.3737788882777912
0.794314381270903,0.07569726969400849,0.3784962710028581
0.7968227424749164,0.07665262860695898,0.3832731907977537
0.7993311036789298,0.07762004489867949,0.3881103990670034
0.8018394648829431,0.07859967074274662,0.39300865669844054
0.8043478260869565,0.07959166023328705,0.39796873418289097
0.8068561872909699,0.08059616940921598,0.402991411735384
0.8093645484949833,0.08161335627878229,0.40807747941789074
0.8118729096989967,0.08264338084442278,0.41322773726353673
0.81438127090301,0.08368640512793046,0.418442995402552
0.8168896321070235,0.0847425931959406,0.4237240741896148
0.8193979933110368,0.0858121111857379,0.42907180433292497
0.8219063545150502,0.08689512733139006,0.43448702702487035
0.8244147157190636,0.08799181199021049,0.43997059407434475
0.826923076923077,0.08910233766955566,0.44552336804075593
0.8294314381270903,0.0902268790539601,0.45114622236966584
0.8319397993311037,0.09136561303261419,0.45684004153020724
0.8344481605351171,0.09251871872718856,0.46260572115422566
0.8369565217391305,0.09368637752000997,0.4684441681771289
0.8394648829431438,0.09486877308259221,0.4743563009805563
0.8419732441471572,0.0960660914045278,0.4803430495368465
0.8444816053511706,0.09727852082274362,0.4864053555553305
0.846989966555184,0.09850625205112645,0.49254417263043987
0.8494983277591973,0.09974947821052174,3.4199090455299483
