Hop,Pure_Willow,Pure_Helios,Willow_to_Helios_at_25,Willow_to_Helios_at_50,Alternating,Phi_No_QEC,Phi_Basic,Phi_Advanced,Phi_Willow
78,0.9922412010555723,0.6775133025541087,0.7533474736448977,0.8526032299407699,0.782387920009324,0.014251697590735322,0.993310961716756,1.0,1.0
79,0.9921457895677226,0.674133295394075,0.7494842299261449,0.8483327667023106,0.7786202285094854,0.013896752889050049,0.993310961716756,1.0,1.0
80,0.9920509057862863,0.6706697977278349,0.7456449966046707,0.8440250310304531,0.7747218079192436,0.013489891523558967,0.993310961716756,1.0,1.0
81,0.9919539545879184,0.6674325677837017,0.7418394986220801,0.8396605825381964,0.766974589840051,0.013218817280924007,0.993310961716756,1.0,1.0
82,0.9918538721447372,0.6640229180941926,0.7382804278239853,0.835407670322897,0.7668955390115333,0.012966983674802672,0.993310961716756,1.0,1.0
83,0.9917560217986684,0.6607911169652644,0.7345861293695347,0.8311590612092373,0.7668189410396239,0.012647332333184276,0.993310961716756,1.0,1.0
84,0.9916565499449879,0.6575642948189813,0.7308504515691533,0.8271535769373219,0.7667388853811987,0.012320426530181311,0.993310961716756,1.0,1.0
85,0.9915591240379916,0.6544376432987447,0.7272388695428231,0.8230791228413643,0.7666637899308267,0.012115238082988346,0.993310961716756,1.0,1.0
86,0.991459660528125,0.6511126876324287,0.7236104101536012,0.8191045107549814,0.766588458196711,0.011816737772434955,0.993310961716756,1.0,1.0
87,0.9913593143685345,0.6478458646842346,0.7200820650634255,0.815112503992396,0.7665090777186012,0.011641329060114933,0.993310961716756,1.0,1.0
88,0.991265522568905,0.6444951668619167,0.7167435370066253,0.8110787841079047,0.7664306686439004,0.011420142184876548,0.993310961716756,1.0,1.0
89,0.9911709267959202,0.6412279142238836,0.713302694624092,0.8070416161279192,0.7663565475787378,0.01122212244069923,0.993310961716756,1.0,1.0
90,0.991072484803877,0.6379138160257647,0.7098034495670669,0.8030469343236432,0.766280939621687,0.011047684712516812,0.993310961716756,1.0,1.0
91,0.990977877173805,0.6348439467406348,0.7062931529126,0.7990391585902531,0.7586181302254705,0.010834692486925455,0.993310961716756,1.0,1.0
92,0.9908832061147411,0.6316325557634082,0.7026776696737527,0.7950430320686505,0.754786309590225,0.010790602728681674,0.993310961716756,1.0,1.0
93,0.9907817740870117,0.6284808923999924,0.6991447230965347,0.7908945250041343,0.7511602840743785,0.010580875511330893,0.993310961716756,1.0,1.0
94,0.9906868237297147,0.6252812329807699,0.6956202225707404,0.7868553914202183,0.7473356913793224,0.01039295240557482,0.9865765724632496,1.0,1.0
95,0.9905916069494165,0.6222514993899323,0.6922180622197455,0.7829883766564797,0.7436794608629537,0.010146942242588226,0.9865765724632496,1.0,1.0
96,0.9904930343138949,0.6190512008888779,0.6886955855361193,0.7790006862314509,0.7399325368490941,0.009960277146172414,0.9865765724632496,1.0,1.0
97,0.9903993889424683,0.6159198223648694,0.6853984439260422,0.7749890360759505,0.7362786601177723,0.00981647591954208,0.9865765724632496,1.0,1.0
98,0.9903036116116268,0.6128261350754062,0.6820366364199276,0.7710353973936347,0.7327650217506797,0.009643449607896365,0.9865765724632496,1.0,1.0
99,0.9901982969468007,0.6098188095480163,0.6785890147314388,0.7672311113681608,0.7291676383796193,0.009529338442022896,0.9865765724632496,1.0,1.0
100,0.990101587368057,0.6068910837928239,0.6752147430372234,0.7633315075353999,0.7255559552097662,0.00935587260623968,0.9797958971132713,1.0,1.0
